sentence	label
what card game can feature dealer 's choice 	1
what english explorer discovered and named virginia 	3
what is the executor in a will 	0
what was the number of people that randy steven craft was convicted of killing 	5
what percentage of the body is muscle 	5
what causes an earthquake 	0
when did amtrak begin operations 	5
who 's played the most games for the new york yankees 	3
when does the average teenager first have intercourse 	5
why does cotton get caught in belly buttons 	0
what california bridge was don brown the first to cross on may 27 1937 	4
what city is found in the city of oz 	4
who are the nomadic hunting and gathering tribe of the kalahari desert in africa 	3
what year did the war of 1812 begin 	5
what is the pennsylvania state income tax rate 	5
where does mother angelica live 	4
what blew up at lakehurst new jersey on may 6 1977 	1
who is the head of the world bank 	3
how long does it take the typical american to eat 23 quarts of ice cream 	5
what are the 7 articles of the constitution 	1
which breakfast cereal brought you `` the best each morning '' 	1
what was einstein 's birthplace 	4
what city contains the district of hell 's kitchen 	4
who portrayed dracula in hammer studios ' films 	3
what does the `` c '' stand for in the equation e mc2 	2
how do you correctly say the word ` qigong ' 	0
who invented basketball 	3
what is the homelite inc home page 	4
how many teaspoons make up a tablespoon 	5
what brand of white rum is still made in cuba 	1
what was the name of the american ship sunk by a mine in havana harbor 	1
what is the name of the gulf between sweden and finland 	4
why does the sun shine only a short time in alaska 	0
what flag flies over wake island 	1
what color are tennis balls 	1
name of the powerful white trader in conrad 's `` heart of darkness '' 	3
who 's the only u s president to have won a pulitzer prize 	3
what does `` antidisestablishmentarianism '' mean 	0
who is the prophet of the religion of islam 	3
what u s city is the queen of the pacific 	4
what is the name of jamiroquai new album 	1
who invented the wonderbra 	3
what type is a snail 	1
what was football star elroy hirsch 's nickname 	3
what 's the capital of taiwan 	4
who is stephen hawking 	3
on what river is rome built 	4
how many feet are there in a fathom 	5
what future soviet dictator was training to be a priest when he got turned on 	3
who followed willy brandt as chancellor of the federal republic of germany 	3
what are the lengths of pearl necklaces 	5
what court does bob woodward describe in the brethren 	3
what composer was awarded the medal of honor by franklin d roosevelt 	3
what is a fear of childbirth 	1
what country did the romans call hibernia 	4
what does final four refer to in the sports world 	1
what is carpal tunnel syndrome 	0
when did world war i start 	5
where does tuberculosis come from 	4
what are some children 's rights 	0
what prison is found in ossining new york 	4
what cigar chewing comedian observed `` you 're only as old as the woman you 	3
what kind of wine is spumante 	1
what was the name of the lawyer who represented randy steven craft 	3
who sought to create the great society 	3
name the two mystical ravens odin has at his command 	1
what is the origin of the surname of braun 	0
what day was pearl harbor attacked in 1942 	5
name the company that used the line `` even your best friend won 't tell 	3
what 's the dumbest domesticated animal 	1
what does the river seine empty into 	4
who founded the modern theory of probability 	3
which continent has the most roses 	4
what did shostakovich write for rostropovich 	1
what joins white wine to put the spritz in a spritzer 	1
how many canadians emmigrate each year 	5
what african country is governed from ouagadougou 	4
what is prepared mustard 	0
in what part of africa is mozambique located 	4
what country are godiva chocolates from 	4
what is in baby powder and baby lotion that makes it smell the way it 	0
what year did the united states pass the copyright law 	5
how many furlongs are there in a mile and a quarter recetrack 	5
who was the first black performer to have his own network tv show 	3
what is the busiest air travel season 	5
what time of day did emperor hirohito die 	5
what british tv series inspired all in the family 	1
what morris west novel deals with russian bishop who becomes pope 	1
how do you clean an lcd monitor screen 	0
what anesthetic did queen victoria allow to be used for the birth of her seventh 	1
what color is `` ash '' 	1
colin powell is famous for what 	0
what is the average life expectancy of a male in ireland in 1996 	5
when did the carolingian period begin 	5
what is the chemical formula for napalm 	1
what city does mccarren airport serve 	4
what pope inaugurated vatican international radio 	3
what state produces the best lobster to eat 	4
how can i register my website in yahoo for free 	0
where can i get information about cystic fibrosis 	4
what is main reason for that electric vehicles can 't be popular nowadays 	0
what significant battle was fought in belgium in 1815 	1
where is the orinoco 	4
how many propellers helped power the plane the wright brothers flew into history 	5
what historical event happened in dogtown in 1899 	1
what famed strip of land is a 15 minute boat trip across the venetian lagoon 	4
how many people die from snakebite poisoning in the u s per year 	5
what can i use to remove the stubborn gummed labels from some diskettes 	1
how was the aclu formed 	0
what is the brand name of the chemical daminozide 	1
what 's bottled in jeroboams 	1
what is the capital of italy 	4
what does `` e pluribus unum '' on the penny mean 	0
when did rococo painting and architecture flourish 	5
what is the frequency of vhf 	5
